payment_id,payment_order_id,payment_amount,payment_fee,payment_method,payment_status
4789901,78228946,76.5,0.0,MEAL_BENEFIT,PAID
5445947,93000130,60.0,0.9,ONLINE,PAID
5037632,85072785,143.6,3.88,ONLINE,PAID
5420647,92539726,60.48,0.91,DEBIT,PAID
4551791,72594281,10.0,0.0,VOUCHER,PAID
5043140,85217650,152.7,2.29,ONLINE,PAID
4457396,69489513,40.75,0.57,DEBIT_STORE,PAID
5345308,90920414,109.7,2.96,ONLINE,PAID
5293759,89910629,61.8,1.67,ONLINE,PAID
5253646,88881488,30.15,0.45,ONLINE,PAID
4643097,75296584,54.8,0.82,ONLINE,PAID
5037741,85074131,109.3,2.95,ONLINE,PAID
4501440,70942540,46.2,0.65,ONLINE,PAID
4570449,73168396,261.3,7.06,ONLINE,PAID
5258606,89051452,69.8,1.88,ONLINE,PAID
4698750,76795945,46.6,0.61,ONLINE,PAID
4881777,81715740,127.3,3.44,ONLINE,PAID
5059059,85477346,39.9,0.56,DEBIT_STORE,PAID
4878989,81653614,11.01,0.0,VOUCHER,PAID
4927936,82737484,50.1,0.75,ONLINE,PAID
5094088,86137125,27.4,0.38,ONLINE,PAID
4612949,74426386,122.5,1.84,ONLINE,PAID
4842544,80692965,55.8,0.84,ONLINE,PAID
4699592,76805642,26.4,0.4,DEBIT,PAID
5090447,86041739,26.9,0.4,ONLINE,PAID
4653891,75500400,1011.12,15.17,INSTALLMENT_CREDIT_STORE,PAID
4455373,69439375,23.9,0.36,ONLINE,PAID
4747344,78183454,55.38,1.11,ONLINE,PAID
5130684,86809323,10.0,0.0,VOUCHER,PAID
4645603,75348497,38.79,0.58,ONLINE,PAID
5457446,93111017,8.0,0.0,VOUCHER,PAID
4610957,74383841,33.8,0.51,ONLINE,PAID
4605125,74184143,40.5,0.61,STORE_DIRECT_PAYMENT,PAID
4695853,76715837,5.0,0.0,VOUCHER,PAID
5050148,85328212,60.9,0.91,ONLINE,PAID
4775063,79001788,39.8,0.6,ONLINE,PAID
5137202,86888329,29.4,0.41,ONLINE,PAID
4546365,72406027,122.4,1.71,ONLINE,PAID
5471034,93134631,39.34,0.59,DEBIT_STORE,PAID
5419599,92535871,28.9,0.43,ONLINE,PAID
4538030,72155200,232.64,4.65,ONLINE,PAID
4852390,80904868,60.9,0.91,MONEY,PAID
5248548,88768092,121.47,2.43,ONLINE,PAID
5191622,87693884,59.9,1.2,ONLINE,PAID
5093784,86132672,169.6,4.58,ONLINE,PAID
4840371,80641931,159.25,4.3,ONLINE,PAID
4774282,78988515,10.0,0.0,VOUCHER,PAID
4580675,73460682,125.9,1.89,ONLINE,PAID
4744771,78127461,17.9,0.27,ONLINE,PAID
4724751,77483626,24.8,0.37,ONLINE,PAID
5322204,90431331,311.6,8.41,ONLINE,PAID
5403371,92154465,196.2,5.3,ONLINE,PAID
4972692,83658023,20.0,0.0,VOUCHER,PAID
5217148,88107467,41.8,1.13,ONLINE,PAID
4903718,82220938,32.79,0.49,ONLINE,PAID
4535053,71993561,68.2,0.95,DEBIT,PAID
4757790,78553471,150.7,4.07,ONLINE,PAID
4462820,69700906,61.8,0.0,VOUCHER_STORE,PAID
5467190,93135965,251.3,6.79,ONLINE,PAID
4771187,78891109,195.0,5.27,ONLINE,PAID
5214503,88064496,10.0,0.0,VOUCHER,PAID
4701315,76875059,5.0,0.0,VOUCHER,PAID
4589521,73670117,115.7,1.74,ONLINE,PAID
5320589,90409025,195.8,3.92,ONLINE,PAID
5252757,88847854,150.1,3.0,ONLINE,PAID
5158315,87234304,41.8,1.13,ONLINE,PAID
5063715,85576577,34.4,0.48,ONLINE,PAID
5030303,84959127,121.8,3.29,ONLINE,PAID
4597146,73963792,10.0,0.0,VOUCHER,PAID
4632305,74948608,58.9,0.88,ONLINE,PAID
5357561,91201861,48.0,0.72,ONLINE,PAID
5415641,92413529,164.75,2.47,ONLINE,PAID
5453185,93096711,59.2,0.89,ONLINE,PAID
4997497,84247784,38.2,0.53,ONLINE,PAID
4847146,80837361,12.81,0.0,VOUCHER,PAID
4539030,72179276,49.4,1.33,ONLINE,PAID
5193377,87722711,85.8,1.29,ONLINE,PAID
4483489,70423348,149.9,3.0,ONLINE,PAID
5110702,86413619,89.9,2.43,ONLINE,PAID
5198400,87834689,105.2,2.84,ONLINE,PAID
5072115,85729926,38.8,0.5,ONLINE,PAID
4792928,79441017,23.8,0.36,ONLINE,PAID
5211944,88040362,250.65,6.77,ONLINE,PAID
4474129,70108755,53.0,0.8,ONLINE,PAID
5266996,89192891,152.91,2.29,ONLINE,PAID
4595373,73879548,111.8,3.02,ONLINE,PAID
4846519,80825050,20.0,0.3,ONLINE,PAID
4568591,73078759,181.6,4.9,ONLINE,PAID
4759432,78581858,21.9,0.33,ONLINE,PAID
4783611,79207708,106.2,2.87,ONLINE,PAID
4529970,71838730,108.7,2.93,ONLINE,PAID
4693058,76621060,77.7,1.17,ONLINE,PAID
5315902,90301265,194.15,5.24,ONLINE,PAID
4623745,74715908,266.3,7.19,ONLINE,PAID
4801910,79583105,79.6,1.19,BANK_TRANSFER_DC,PAID
5190896,87683838,221.11,4.42,ONLINE,PAID
5069123,85628489,10.0,0.0,VOUCHER,PAID
4816261,80056374,214.0,5.78,ONLINE,PAID
4751583,78340170,40.69,0.61,ONLINE,PAID
5387519,91822290,210.8,4.22,ONLINE,PAID
5301694,90036315,43.8,0.66,ONLINE,PAID
5239367,88591594,191.3,3.83,ONLINE,PAID
4434827,68697739,15.0,0.0,VOUCHER,PAID
5280714,89601129,49.05,0.98,ONLINE,PAID
5364541,87300604,63.7,0.96,BANK_TRANSFER_DC,PAID
4727972,77569212,135.6,3.66,ONLINE,PAID
4493646,70697943,69.9,1.05,ONLINE,PAID
4571853,73199812,39.8,0.52,ONLINE,PAID
4972301,83650264,92.2,2.49,ONLINE,PAID
5207405,87933655,69.2,1.04,ONLINE,PAID
4715868,77234961,27.39,0.41,ONLINE,PAID
4542519,72280172,100.7,2.72,ONLINE,PAID
5104096,86275229,35.8,0.5,ONLINE,PAID
4813311,79980200,79.2,1.11,ONLINE,PAID
5348475,90977532,276.4,7.46,ONLINE,PAID
4436988,68759572,130.75,3.53,ONLINE,PAID
5441963,92935533,244.05,6.59,ONLINE,PAID
5290644,89781845,49.2,0.0,MEAL_BENEFIT,PAID
5261513,89086044,0.01,0.0,VOUCHER_STORE,PAID
5382513,91691638,11.0,0.17,ONLINE,PAID
4929269,82741992,9.99,0.15,ONLINE,PAID
4672377,76030623,38.7,0.5,ONLINE,PAID
5394095,91943023,51.8,0.78,ONLINE,PAID
4983762,83881310,4.99,0.07,ONLINE,PAID
5100011,86223764,164.02,2.46,ONLINE,PAID
4524063,71693587,25.4,0.38,ONLINE,PAID
4778513,79079912,12.0,0.0,VOUCHER,PAID
5264609,89156927,51.89,0.78,ONLINE,PAID
5289440,89775960,76.92,1.54,ONLINE,PAID
4721464,77369543,65.9,0.99,ONLINE,PAID
4870614,81428029,69.8,1.88,ONLINE,PAID
4452765,69346613,60.9,1.64,ONLINE,PAID
5009348,84500760,199.89,4.0,ONLINE,PAID
5064150,85579825,11.01,0.0,VOUCHER,PAID
5230761,88410727,20.0,0.0,VOUCHER,PAID
4887216,81867947,83.85,2.26,ONLINE,PAID
4946066,83100505,20.0,0.0,VOUCHER,PAID
4951981,83207066,29.8,0.39,ONLINE,PAID
4843772,80715529,126.7,3.42,ONLINE,PAID
4980546,83846767,0.99,0.01,ONLINE,PAID
5415106,92378196,78.0,1.09,CREDIT_STORE,PAID
5431370,92756721,18.8,0.28,ONLINE,PAID
5466611,93133808,31.3,0.47,DEBIT,PAID
5406628,92197309,138.7,3.74,ONLINE,PAID
4501061,70934108,10.0,0.0,VOUCHER,PAID
4702763,76899383,42.9,0.0,ONLINE,PAID
5355751,91157569,38.8,0.58,ONLINE,PAID
4934483,82827337,11.01,0.0,VOUCHER,PAID
5172440,87428743,16.9,0.25,ONLINE,PAID
5068250,85615435,84.6,2.28,ONLINE,PAID
4906009,82264795,142.7,3.85,ONLINE,PAID
5177293,87478842,52.11,0.78,ONLINE,PAID
5215465,88072439,33.5,0.5,DEBIT,PAID
4917997,82544867,10.0,0.0,VOUCHER,PAID
5264847,89160212,10.0,0.0,VOUCHER,PAID
4673915,76048143,58.6,0.88,CREDIT,PAID
5156797,87218324,762.85,11.37,ONLINE,PAID
4589012,73660272,10.0,0.0,VOUCHER,PAID
4639079,75170353,152.6,4.12,ONLINE,PAID
4623719,74715459,32.4,0.49,ONLINE,PAID
5073296,85736703,26.6,0.4,ONLINE,PAID
4946730,83108165,369.3,7.39,ONLINE,PAID
5061398,85558335,5.9,0.0,VOUCHER,PAID
5428204,92728111,10.0,0.0,VOUCHER,PAID
4831415,80430763,58.0,0.87,ONLINE,PAID
4658971,75667219,91.8,2.48,ONLINE,PAID
4523804,71689178,107.6,1.61,ONLINE,PAID
4970128,83613136,100.0,1.3,ONLINE,PAID
5351850,91089218,117.7,1.65,ONLINE,PAID
5120992,86614504,63.5,0.95,ONLINE,PAID
5141040,86983235,82.88,1.66,ONLINE,PAID
5212190,88042216,10.0,0.0,VOUCHER,PAID
4439439,68863466,58.7,1.58,ONLINE,PAID
4459121,69583364,79.5,1.11,ONLINE,PAID
4744343,78119802,214.0,5.78,ONLINE,PAID
4430267,68521582,10.0,0.0,VOUCHER,PAID
5245077,88674199,147.6,3.99,ONLINE,PAID
4953365,83223862,70.9,1.06,ONLINE,PAID
5093719,86131328,129.8,2.6,ONLINE,PAID
5178195,87484992,134.16,2.01,ONLINE,PAID
5403314,92153726,41.7,0.63,STORE_DIRECT_PAYMENT,PAID
4534710,71997998,74.4,1.12,ONLINE,PAID
4684693,76356066,10.0,0.0,VOUCHER,PAID
5057750,85485504,34.0,0.51,ONLINE,PAID
4780337,79110211,51.9,0.67,ONLINE,PAID
5168337,87340865,96.8,1.45,ONLINE,PAID
5028340,84844608,254.0,3.81,PAYMENT_LINK,PAID
4428149,68423110,5.0,0.0,VOUCHER,PAID
4751397,78336465,70.2,0.98,ONLINE,PAID
4825682,80272498,68.4,0.89,ONLINE,PAID
4448483,69156105,31.82,0.48,ONLINE,PAID
5042684,85193874,58.0,0.0,MEAL_BENEFIT,PAID
4800861,79655250,45.7,0.69,ONLINE,PAID
5217732,88120805,121.7,3.29,ONLINE,PAID
4760110,78595102,164.6,4.44,ONLINE,PAID
5133048,86839769,217.4,3.26,ONLINE,PAID
5287144,89717759,36.67,0.55,ONLINE,PAID
5106390,86359345,143.2,3.87,ONLINE,PAID
4868094,81338787,166.75,4.5,ONLINE,PAID
4714364,77209093,12.0,0.0,VOUCHER,PAID
4570898,73180765,10.0,0.0,VOUCHER,PAID
4448472,69155288,16.9,0.25,ONLINE,PAID
5206723,87926611,8.41,0.0,VOUCHER,PAID
5033398,85000021,146.75,3.96,ONLINE,PAID
5377687,91648622,58.4,0.88,ONLINE,PAID
5384022,91714490,141.7,3.83,ONLINE,PAID
5305441,90086235,63.9,0.0,ONLINE,PAID
5428318,92729213,81.8,1.23,ONLINE,PAID
4678619,76233799,69.0,1.04,ONLINE,PAID
4594432,73851462,51.8,1.4,ONLINE,PAID
4925489,82709939,104.7,1.57,ONLINE,PAID
4803097,79747276,44.2,0.62,ONLINE,PAID
4531068,71912890,11.9,0.0,VOUCHER,PAID
4751725,78342740,73.8,1.99,ONLINE,PAID
4629332,74872555,162.7,4.39,ONLINE,PAID
5296753,89950526,112.99,2.26,ONLINE,PAID
4548734,72482297,183.6,4.96,ONLINE,PAID
4469730,69985194,380.1,10.26,ONLINE,PAID
4893527,81982540,9.9,0.0,VOUCHER,PAID
5082462,85904875,47.9,0.72,ONLINE,PAID
4589610,73672362,10.0,0.0,VOUCHER,PAID
5345536,90923785,134.3,3.63,ONLINE,PAID
4766418,78785282,88.4,2.39,ONLINE,PAID
5021523,84681913,99.8,2.0,ONLINE,PAID
5030806,84965878,42.0,0.55,ONLINE,PAID
4936662,82892658,12.0,0.0,VOUCHER,PAID
5181487,87535797,125.75,3.4,ONLINE,PAID
5462373,93126618,45.3,0.68,ONLINE,PAID
4538987,72178906,95.99,1.44,ONLINE,PAID
4901264,82166120,108.8,1.52,ONLINE,PAID
5433460,92796382,126.7,3.42,ONLINE,PAID
5296780,89950768,151.3,4.09,ONLINE,PAID
4489530,70534303,121.0,1.82,CREDIT_STORE,PAID
5304372,90062978,37.4,0.56,DEBIT,PAID
4534562,71993288,57.0,0.86,ONLINE,PAID
5215208,88073085,45.8,0.92,ONLINE,PAID
4996203,84168466,75.3,1.13,ONLINE,PAID
5253097,88859582,71.78,1.08,ONLINE,PAID
5077380,85777384,33.0,0.5,ONLINE,PAID
5286487,89699129,17.99,0.27,ONLINE,PAID
5039300,85090277,244.9,6.61,ONLINE,PAID
5138410,86904272,81.02,1.62,ONLINE,PAID
4957120,83352104,99.6,1.49,ONLINE,PAID
5228224,88334848,73.25,1.03,ONLINE,PAID
5301742,90037052,30.9,0.46,ONLINE,PAID
4912965,82422960,22.9,0.34,ONLINE,PAID
5284234,89654973,154.25,4.16,ONLINE,PAID
5170257,87401045,59.39,0.0,ONLINE,PAID
4988687,84017952,77.9,1.17,ONLINE,PAID
4861705,81201351,10.0,0.0,VOUCHER,PAID
5237701,88566155,10.0,0.0,VOUCHER,PAID
5011766,84531549,20.6,0.31,ONLINE,PAID
5234914,88471811,131.1,1.84,ONLINE,PAID
5377751,91649423,10.0,0.0,VOUCHER,PAID
5336683,90703148,99.6,1.49,ONLINE,PAID
4566856,73045064,73.7,1.99,ONLINE,PAID
5212900,88048220,60.2,0.9,ONLINE,PAID
4805921,79807722,28.8,0.43,ONLINE,PAID
4523130,71676342,41.9,0.63,ONLINE,PAID
4886638,81859672,5.0,0.0,VOUCHER,PAID
5276341,89447412,216.6,5.85,ONLINE,PAID
5017084,84689815,24.9,0.37,ONLINE,PAID
4790434,79390063,92.3,2.49,ONLINE,PAID
4753679,78389292,32.8,0.49,ONLINE,PAID
5199946,87848382,29.9,0.0,ONLINE,PAID
5210788,88029434,73.8,1.11,ONLINE,PAID
4863112,81224212,146.77,2.2,ONLINE,PAID
5180735,85582834,20.89,0.31,BANK_TRANSFER_DC,PAID
4801014,79659030,10.0,0.0,VOUCHER,PAID
4684410,76349941,5.0,0.0,VOUCHER,PAID
5314551,90268583,10.0,0.0,VOUCHER,PAID
5230295,88405927,66.7,1.8,ONLINE,PAID
4746298,78158055,98.89,1.48,ONLINE,PAID
4446645,69106215,32.8,0.49,ONLINE,PAID
4662510,75779276,109.7,2.96,ONLINE,PAID
4715676,77231413,90.7,1.36,ONLINE,PAID
5180299,87524808,10.0,0.0,VOUCHER,PAID
4836322,80576078,141.6,3.82,ONLINE,PAID
5300839,90024000,28.8,0.43,ONLINE,PAID
5140506,86933287,96.8,1.45,ONLINE,PAID
4820483,80173063,5.0,0.08,ONLINE,PAID
5405398,92179413,53.9,0.7,ONLINE,PAID
5220280,88206768,108.8,2.18,ONLINE,PAID
4915480,82461249,79.6,1.19,ONLINE,PAID
4590703,73706245,26.0,0.39,ONLINE,PAID
4531471,71920277,32.8,0.49,ONLINE,PAID
5456605,93108217,130.7,1.96,ONLINE,PAID
4611858,74389433,26.9,0.0,MEAL_BENEFIT,PAID
4447272,69121075,208.1,2.91,ONLINE,PAID
4624105,74722291,273.2,7.38,ONLINE,PAID
5118889,86592029,164.15,4.43,ONLINE,PAID
4703688,76913567,201.69,4.03,STORE_DIRECT_PAYMENT,PAID
5176680,87471430,60.6,0.91,ONLINE,PAID
4682111,76291092,29.8,0.39,ONLINE,PAID
4513244,71343879,73.4,1.1,ONLINE,PAID
5231668,88422706,50.0,0.7,ONLINE,PAID
4712732,77127044,51.8,1.4,ONLINE,PAID
4729327,77601367,10.0,0.0,VOUCHER,PAID
4433010,68641616,218.0,3.27,ONLINE,PAID
4614137,74465043,138.4,3.74,ONLINE,PAID
4929721,82744425,11.01,0.0,VOUCHER,PAID
5338971,90800378,157.8,2.37,ONLINE,PAID
4644707,75331743,5.0,0.0,VOUCHER,PAID
4488202,70535389,85.9,1.29,ONLINE,PAID
4445520,69021593,48.5,3.4,ONLINE,PAID
5377101,91638388,33.8,0.68,DEBIT,PAID
5448143,93021914,91.8,2.48,ONLINE,PAID
4843505,80710722,33.7,0.51,ONLINE,PAID
4833982,80483152,25.9,0.39,ONLINE,PAID
4835354,80510543,70.5,4.94,ONLINE,PAID
4993118,84098316,222.2,4.44,ONLINE,PAID
5217862,88122545,171.6,4.63,ONLINE,PAID
4473233,70088029,66.0,0.99,ONLINE,PAID
5348568,90980400,10.0,0.0,VOUCHER,PAID
4677765,76155937,27.67,0.0,VOUCHER,PAID
4797540,79557099,10.0,0.0,VOUCHER,PAID
5238613,88581654,98.7,1.97,ONLINE,PAID
4622710,74685423,150.8,1.96,ONLINE,PAID
5111473,86424215,33.06,0.5,ONLINE,PAID
5268382,89218343,115.5,3.12,ONLINE,PAID
4548835,72485196,39.3,0.59,ONLINE,PAID
4437846,68779146,150.1,4.05,ONLINE,PAID
4948315,83133951,151.5,2.27,ONLINE,PAID
4760384,78601334,5.9,0.09,ONLINE,PAID
4489599,70564908,57.8,1.56,ONLINE,PAID
5319129,90393015,39.7,0.6,ONLINE,PAID
5210528,88026515,36.9,0.55,ONLINE,PAID
5346067,90932168,133.7,1.99,ONLINE,PAID
4737301,77894467,60.9,0.91,ONLINE,PAID
4801017,79659208,384.85,7.7,VOUCHER_STORE,PAID
4592270,73779469,43.32,0.65,ONLINE,PAID
4581033,73465977,42.6,0.64,DEBIT,PAID
4461480,69665482,107.7,2.91,ONLINE,PAID
5039439,85091967,106.6,2.88,ONLINE,PAID
5021412,84737581,289.7,5.79,STORE_DIRECT_PAYMENT,PAID
4583433,73536587,101.8,1.53,ONLINE,PAID
4506411,71105786,213.92,3.21,ONLINE,PAID
5157198,87221942,153.7,2.31,ONLINE,PAID
4616459,74509250,51.0,0.77,ONLINE,PAID
4822083,80193039,92.76,1.86,CREDIT_STORE,PAID
4555751,72700187,204.9,3.07,ONLINE,PAID
4749516,78249253,65.7,0.85,ONLINE,PAID
4844610,80783122,10.0,0.0,VOUCHER,PAID
4973511,83676782,42.0,0.0,VOUCHER,PAID
5402917,92149162,1819.0,36.38,ONLINE,PAID
5394832,91957766,199.2,5.38,ONLINE,PAID
5457045,93110068,19.9,0.3,ONLINE,PAID
5297431,89957142,123.3,3.33,ONLINE,PAID
4679139,76241707,312.9,4.69,ONLINE,PAID
5075623,85756877,13.8,0.28,ONLINE,PAID
5445825,92998950,7.0,0.0,VOUCHER,PAID
5012806,84532150,133.9,2.68,STORE_DIRECT_PAYMENT,PAID
5061445,85557850,149.8,3.0,ONLINE,PAID
4539698,72195875,33.8,0.51,ONLINE,PAID
5151472,87101750,20.0,0.0,VOUCHER,PAID
4791902,79407984,32.8,0.49,DEBIT,PAID
4788935,79290700,12.7,0.19,MONEY,PAID
5088572,86008642,302.5,6.05,ONLINE,PAID
4459994,69611339,66.9,1.0,ONLINE,PAID
5077156,85774716,124.6,2.49,ONLINE,PAID
5401497,92116304,40.7,0.61,ONLINE,PAID
4785230,79238648,65.7,1.77,ONLINE,PAID
4511131,71277571,150.0,2.25,ONLINE,PAID
5391604,91884727,30.8,0.43,ONLINE,PAID
4622028,74665881,156.6,3.13,ONLINE,PAID
4772614,78058823,62.5,0.94,PAYMENT_LINK,PAID
4444286,68989609,79.8,2.15,ONLINE,PAID
5072939,85733843,29.6,0.44,ONLINE,PAID
5271556,89337828,78.3,2.11,ONLINE,PAID
4445749,69027957,76.8,2.07,ONLINE,PAID
4825608,80271300,66.6,1.0,ONLINE,PAID
5143258,87008013,39.4,0.55,ONLINE,PAID
4851828,80915175,146.7,3.96,ONLINE,PAID
4468909,69922952,84.5,1.18,ONLINE,PAID
4484872,70449994,11.9,0.0,VOUCHER,PAID
4450408,69232078,46.9,0.7,ONLINE,PAID
5126607,86694012,254.6,5.09,ONLINE,PAID
5077445,85778523,53.6,0.7,ONLINE,PAID
5303440,90055185,81.2,1.22,ONLINE,PAID
5203565,87887257,100.0,2.0,ONLINE,PAID
5457230,93110533,91.6,1.37,ONLINE,PAID
4698088,76783146,84.7,1.27,ONLINE,PAID
5112223,86435427,2.4,0.04,ONLINE,PAID
4492287,70671674,12.0,0.0,VOUCHER,PAID
5254582,88906070,444.9,12.01,ONLINE,PAID
5196219,87764578,62.94,0.94,ONLINE,PAID
4819662,80158810,140.6,3.8,ONLINE,PAID
4765533,78770316,187.9,2.82,ONLINE,PAID
5464014,93128486,66.5,1.0,DEBIT,PAID
5223795,88246602,80.7,2.18,ONLINE,PAID
5365733,91389419,73.24,1.1,ONLINE,PAID
5345447,90922047,129.8,1.95,ONLINE,PAID
4643468,75303232,24.3,0.36,ONLINE,PAID
5233186,88442925,133.2,3.6,ONLINE,PAID
5069603,85637197,12.0,0.0,VOUCHER,PAID
5215796,88081416,90.8,1.36,ONLINE,PAID
5092133,86113333,24.9,0.37,ONLINE,PAID
4883582,81746881,102.5,1.44,ONLINE,PAID
5374683,91561035,39.1,0.59,ONLINE,PAID
4487389,70509800,10.0,0.0,VOUCHER,PAID
5050993,85341856,42.89,0.64,ONLINE,PAID
4875427,81531237,24.9,0.0,MEAL_BENEFIT,PAID
4615676,74495559,189.0,5.1,ONLINE,PAID
4649206,75429432,159.4,2.39,DEBIT,PAID
5256918,89023077,152.2,3.04,ONLINE,PAID
5311036,90204516,271.9,4.08,ONLINE,PAID
5274426,89354686,31.91,0.48,DEBIT_STORE,PAID
4982440,83857330,60.2,0.9,ONLINE,PAID
5507220,88248613,35.9,0.54,CREDIT,PAID
5276968,89457331,125.9,1.89,ONLINE,PAID
5129366,86740825,109.7,2.96,ONLINE,PAID
4940807,82961509,165.7,4.47,ONLINE,PAID
4797519,79556420,59.8,0.9,ONLINE,PAID
5253333,88872177,75.49,1.13,ONLINE,PAID
5377277,91643579,38.3,0.57,ONLINE,PAID
5402683,92145314,96.6,1.45,ONLINE,PAID
4652284,75479552,34.5,0.48,ONLINE,PAID
5321182,90414688,10.0,0.0,VOUCHER,PAID
4763851,78704828,67.8,1.02,ONLINE,PAID
5022673,84784505,158.79,2.38,ONLINE,PAID
5256459,88957503,217.3,5.87,ONLINE,PAID
5111917,86430693,296.94,5.94,ONLINE,PAID
4727502,77559633,90.78,1.36,ONLINE,PAID
4987206,83941840,133.2,1.86,CREDIT,PAID
4831633,80425073,44.9,0.0,MEAL_BENEFIT,PAID
4509072,71224293,5.0,0.0,VOUCHER,PAID
4790916,79397047,8.0,0.0,VOUCHER,PAID
4511367,71283952,63.6,0.89,ONLINE,PAID
4751926,78346854,123.7,3.34,ONLINE,PAID
5171482,87421110,33.9,0.51,ONLINE,PAID
4951499,83201290,93.8,1.22,ONLINE,PAID
4794600,79474423,44.8,0.67,ONLINE,PAID
4544983,72375867,103.7,1.56,ONLINE,PAID
4903613,82218910,166.7,4.5,ONLINE,PAID
4667820,75893876,100.0,1.5,ONLINE,PAID
4656368,75597031,129.15,3.49,ONLINE,PAID
5368958,91496129,110.4,1.55,ONLINE,PAID
4963465,83457270,28.8,0.43,ONLINE,PAID
5402205,92135572,47.8,0.72,ONLINE,PAID
4741273,78002416,39.7,0.6,ONLINE,PAID
4455993,69458833,42.0,0.63,ONLINE,PAID
4587402,73640032,15.2,0.15,ONLINE,PAID
4594165,73841414,5.0,0.0,VOUCHER,PAID
5335307,90681448,148.65,4.01,ONLINE,PAID
4545367,72383986,120.0,1.8,ONLINE,PAID
5179111,87508977,284.6,5.69,ONLINE,PAID
5091587,86106594,169.8,3.4,ONLINE,PAID
5409413,92295721,10.0,0.0,VOUCHER,CHARGEBACK
4579938,73442861,21.24,0.42,STORE_DIRECT_PAYMENT,PAID
4973591,83677947,63.7,1.72,ONLINE,PAID
5148000,87055682,96.8,2.61,ONLINE,PAID
4986106,83925519,58.8,1.59,ONLINE,PAID
4597302,73966996,139.2,3.76,ONLINE,PAID
5305643,90088964,150.5,4.06,ONLINE,PAID
4697836,76777685,25.8,0.34,ONLINE,PAID
4925402,82709133,94.3,2.55,ONLINE,PAID
5100509,86229480,123.7,3.34,ONLINE,PAID
5434047,92808473,138.7,3.74,ONLINE,PAID
4950586,83184741,71.6,0.93,ONLINE,PAID
