order_id,Order Date,Delivered Date,order Time Hour,Order Date Minute,Delivered Time Hour,Delivered Date Minute
73284906,3/25/2020,3/27/2020,13,53,0,16
85789957,10/14/2021,10/16/2021,13,9,0,57
74708774,3/10/2019,3/15/2019,12,54,0,24
78228946,4/13/2021,4/16/2021,16,9,6,32
93000130,10/8/2019,10/12/2019,8,14,20,20
85072785,9/28/2019,10/3/2019,10,26,0,58
92539726,11/11/2019,11/15/2019,15,24,7,14
72594281,12/21/2020,12/22/2020,11,56,21,5
85217650,4/15/2019,4/20/2019,16,28,6,23
69489513,7/14/2019,7/16/2019,9,57,21,53
90920414,8/18/2019,8/22/2019,14,55,4,52
89910629,1/4/2019,1/7/2019,8,3,20,44
88881488,6/26/2019,6/29/2019,9,12,18,2
75296584,8/29/2021,9/3/2021,14,57,0,14
85074131,4/5/2019,4/10/2019,16,12,5,26
70942540,11/16/2019,11/20/2019,9,7,19,41
73168396,4/19/2019,4/22/2019,12,42,3,4
89051452,5/29/2021,6/1/2021,11,42,21,14
76795945,12/28/2021,12/30/2021,8,20,21,43
81715740,2/18/2019,2/23/2019,10,2,0,21
85477346,3/8/2019,3/12/2019,11,54,20,57
81653614,10/6/2019,10/8/2019,10,45,22,51
82737484,8/26/2020,8/31/2020,15,9,4,58
86137125,2/8/2020,2/13/2020,13,43,0,33
74426386,5/11/2020,5/14/2020,11,57,21,7
80692965,2/21/2021,2/26/2021,16,41,5,25
76805642,11/18/2021,11/19/2021,9,32,18,25
86041739,11/7/2020,11/10/2020,9,19,0,15
75500400,12/12/2020,12/14/2020,14,33,6,32
69439375,8/15/2021,8/16/2021,9,6,18,41
78183454,8/22/2019,8/24/2019,14,1,22,23
86809323,10/21/2019,10/22/2019,9,45,20,12
75348497,3/12/2021,3/13/2021,8,38,20,24
93111017,5/24/2021,5/28/2021,13,53,4,8
74383841,10/25/2019,10/29/2019,10,44,0,15
74184143,5/25/2019,5/27/2019,15,40,8,18
76715837,6/11/2020,6/16/2020,13,54,3,41
85328212,3/21/2021,3/22/2021,9,9,19,35
79001788,4/8/2021,4/12/2021,11,54,20,30
86888329,6/27/2019,6/29/2019,15,23,7,14
72406027,3/19/2020,3/24/2020,14,15,1,51
93134631,2/7/2019,2/9/2019,12,8,2,45
92535871,10/27/2019,10/31/2019,16,59,7,28
72155200,11/5/2020,11/7/2020,14,54,4,2
80904868,10/2/2019,10/5/2019,8,53,18,45
88768092,12/31/2019,1/2/2020,11,57,23,24
87693884,4/30/2021,5/5/2021,16,5,3,0
86132672,4/9/2020,4/12/2020,14,10,3,48
80641931,6/30/2021,7/3/2021,16,41,1,7
78988515,11/20/2019,11/23/2019,8,59,18,58
73460682,3/17/2019,3/21/2019,16,41,3,55
78127461,12/3/2020,12/6/2020,13,7,23,4
77483626,9/17/2021,9/21/2021,16,29,6,5
90431331,7/17/2019,7/19/2019,8,14,18,26
92154465,7/12/2019,7/15/2019,8,11,19,28
83658023,9/22/2020,9/23/2020,8,53,19,47
88107467,7/15/2019,7/20/2019,11,44,1,47
82220938,6/6/2020,6/9/2020,14,10,23,30
71993561,3/1/2020,3/5/2020,14,52,23,7
78553471,9/7/2021,9/8/2021,8,1,23,30
69700906,5/6/2019,5/10/2019,11,31,20,0
93135965,8/29/2020,9/3/2020,12,23,3,58
78891109,3/3/2020,3/7/2020,9,28,17,58
88064496,2/17/2021,2/19/2021,15,30,5,31
76875059,4/28/2019,5/2/2019,14,20,4,12
73670117,8/6/2020,8/10/2020,14,52,2,1
90409025,12/22/2020,12/26/2020,9,22,0,54
88847854,3/1/2021,3/2/2021,8,20,19,54
87234304,10/3/2020,10/5/2020,13,5,4,50
85576577,3/10/2020,3/13/2020,14,37,7,25
84959127,8/29/2021,9/2/2021,16,31,4,44
73963792,11/29/2021,12/4/2021,13,13,1,3
74948608,7/15/2019,7/20/2019,16,15,8,4
91201861,3/7/2020,3/9/2020,13,50,23,20
92413529,9/29/2021,10/2/2021,14,41,4,24
93096711,1/16/2020,1/18/2020,9,42,1,20
84247784,7/26/2019,7/30/2019,10,10,19,52
80837361,7/1/2020,7/5/2020,16,26,5,6
72179276,6/3/2021,6/5/2021,10,11,20,21
87722711,2/23/2020,2/25/2020,10,19,20,43
70423348,1/12/2019,1/17/2019,15,13,4,13
86413619,10/24/2020,10/27/2020,12,23,1,12
87834689,1/15/2020,1/17/2020,14,2,23,33
85729926,10/25/2019,10/29/2019,12,6,23,56
79441017,8/30/2021,9/2/2021,12,33,20,46
88040362,12/4/2019,12/7/2019,16,28,2,36
70108755,11/10/2020,11/12/2020,16,26,3,5
89192891,5/31/2020,6/2/2020,16,25,6,25
73879548,4/25/2021,4/26/2021,8,33,16,48
80825050,3/13/2020,3/16/2020,12,43,4,24
73078759,10/20/2020,10/24/2020,12,49,3,18
78581858,4/23/2019,4/25/2019,13,26,23,41
79207708,3/4/2020,3/6/2020,10,11,23,40
71838730,4/28/2021,5/3/2021,13,30,0,16
76621060,9/30/2021,10/3/2021,13,12,1,49
90301265,8/21/2020,8/26/2020,12,9,1,15
74715908,6/26/2021,7/1/2021,15,38,5,50
79583105,10/30/2020,10/31/2020,13,43,21,50
87683838,1/22/2020,1/23/2020,9,56,17,59
85628489,8/23/2020,8/24/2020,11,36,20,2
80056374,9/12/2021,9/14/2021,13,44,1,10
78340170,4/15/2021,4/19/2021,11,2,2,1
91822290,12/31/2021,1/4/2022,11,21,21,9
90036315,2/28/2021,3/2/2021,12,14,1,44
88591594,8/11/2020,8/14/2020,13,23,5,13
68697739,4/25/2019,4/30/2019,13,8,5,31
89601129,2/11/2020,2/15/2020,9,14,17,25
87300604,3/1/2020,3/2/2020,8,39,18,12
77569212,12/30/2021,1/2/2022,8,46,0,8
70697943,11/22/2021,11/27/2021,10,35,0,21
73199812,9/17/2020,9/21/2020,10,15,23,33
83650264,6/1/2019,6/2/2019,8,29,21,15
87933655,4/8/2019,4/11/2019,12,1,23,25
77234961,4/24/2021,4/27/2021,12,19,23,12
72280172,9/11/2019,9/15/2019,16,18,7,17
86275229,11/16/2019,11/17/2019,13,23,21,43
79980200,11/12/2021,11/13/2021,8,22,17,44
90977532,8/2/2020,8/4/2020,9,4,21,19
68759572,7/5/2019,7/8/2019,10,12,1,31
92935533,7/13/2019,7/17/2019,8,5,0,2
89781845,10/4/2020,10/9/2020,15,35,5,49
89086044,10/19/2021,10/21/2021,15,22,2,37
91691638,3/30/2021,4/3/2021,11,16,3,3
82741992,2/10/2020,2/15/2020,16,14,9,4
76030623,4/19/2019,4/22/2019,14,36,6,42
91943023,12/19/2021,12/23/2021,13,15,1,28
83881310,3/22/2021,3/26/2021,8,24,16,50
86223764,7/30/2020,8/1/2020,9,4,1,33
71693587,11/8/2020,11/12/2020,9,38,19,56
79079912,12/8/2019,12/10/2019,10,18,0,9
89156927,9/8/2020,9/9/2020,10,49,23,26
89775960,11/11/2020,11/14/2020,11,57,4,6
77369543,7/17/2019,7/19/2019,9,8,18,32
81428029,7/5/2020,7/7/2020,8,5,17,30
69346613,2/19/2021,2/22/2021,14,32,3,40
84500760,1/11/2019,1/16/2019,11,9,2,28
85579825,8/3/2021,8/8/2021,13,40,1,32
88410727,4/5/2021,4/10/2021,11,25,2,47
81867947,8/21/2020,8/25/2020,11,37,22,3
83100505,9/8/2019,9/11/2019,8,37,1,19
83207066,12/16/2020,12/19/2020,10,29,3,21
80715529,6/29/2020,7/3/2020,14,12,0,42
83846767,11/12/2019,11/15/2019,11,50,21,46
92378196,8/28/2019,9/1/2019,16,36,2,57
92756721,12/31/2020,1/5/2021,15,16,6,52
93133808,3/22/2019,3/26/2019,10,1,18,40
92197309,9/6/2020,9/10/2020,11,44,2,9
70934108,8/20/2021,8/24/2021,11,17,23,45
76899383,10/12/2019,10/16/2019,9,14,18,18
91157569,5/22/2020,5/24/2020,9,46,21,4
82827337,12/2/2019,12/4/2019,8,43,17,44
87428743,1/1/2020,1/2/2020,13,35,22,49
85615435,5/30/2021,6/1/2021,9,30,22,3
82264795,10/26/2020,10/31/2020,16,32,5,23
87478842,10/23/2021,10/24/2021,12,32,23,0
88072439,9/29/2021,10/3/2021,12,33,4,8
82544867,12/20/2021,12/24/2021,10,18,3,3
89160212,2/4/2021,2/5/2021,9,15,19,48
76048143,2/21/2019,2/25/2019,8,56,23,41
87218324,9/13/2019,9/18/2019,11,48,1,20
73660272,5/16/2019,5/21/2019,16,24,7,18
75170353,10/11/2021,10/13/2021,10,43,23,9
74715459,9/7/2019,9/12/2019,15,42,4,8
85736703,1/8/2020,1/11/2020,16,56,5,26
83108165,8/4/2020,8/6/2020,15,38,3,50
85558335,8/1/2020,8/3/2020,8,40,17,35
92728111,2/4/2020,2/8/2020,11,57,0,8
80430763,4/7/2020,4/9/2020,12,21,21,38
75667219,6/12/2019,6/17/2019,9,30,1,49
71689178,2/10/2020,2/13/2020,14,59,7,45
83613136,9/12/2021,9/16/2021,10,54,22,31
91089218,1/31/2021,2/3/2021,12,47,21,53
86614504,10/4/2019,10/5/2019,11,30,22,25
86983235,9/8/2020,9/9/2020,9,21,22,46
88042216,2/19/2021,2/23/2021,15,30,0,1
68863466,10/10/2019,10/14/2019,11,49,2,51
69583364,10/7/2021,10/11/2021,10,27,21,13
78119802,1/22/2019,1/26/2019,11,13,21,42
68521582,7/19/2020,7/22/2020,15,14,5,31
88674199,10/3/2021,10/7/2021,9,1,23,29
83223862,8/1/2020,8/3/2020,16,8,0,41
86131328,3/8/2020,3/12/2020,13,3,4,27
87484992,7/20/2021,7/22/2021,12,37,5,35
92153726,10/28/2020,10/31/2020,15,45,8,37
71997998,5/18/2019,5/20/2019,8,23,17,47
76356066,4/1/2020,4/5/2020,14,17,23,11
85485504,9/19/2019,9/22/2019,10,39,2,34
79110211,10/21/2020,10/22/2020,11,41,22,14
87340865,3/6/2020,3/8/2020,14,32,1,59
84844608,11/15/2019,11/18/2019,12,20,3,39
68423110,9/2/2021,9/3/2021,14,48,23,57
78336465,11/7/2021,11/10/2021,15,35,3,10
80272498,1/8/2021,1/10/2021,15,43,7,17
69156105,4/22/2019,4/25/2019,15,16,3,4
85193874,9/6/2020,9/11/2020,10,11,2,53
79655250,8/6/2019,8/7/2019,8,30,22,13
88120805,2/20/2021,2/24/2021,16,11,4,49
78595102,12/8/2019,12/10/2019,9,24,20,25
86839769,3/8/2021,3/9/2021,11,10,22,19
89717759,10/17/2021,10/20/2021,15,37,3,45
86359345,2/3/2019,2/6/2019,16,26,5,59
81338787,1/18/2021,1/19/2021,8,13,19,40
77209093,7/23/2020,7/28/2020,15,12,5,10
73180765,6/9/2020,6/13/2020,12,21,23,16
69155288,1/3/2020,1/5/2020,16,59,4,51
87926611,11/4/2020,11/8/2020,8,46,18,17
85000021,1/29/2020,1/30/2020,11,38,19,53
91648622,11/17/2020,11/22/2020,13,56,2,58
91714490,8/10/2021,8/14/2021,11,53,23,21
90086235,1/22/2020,1/26/2020,14,16,0,15
92729213,5/9/2019,5/12/2019,11,38,22,55
76233799,7/28/2020,8/1/2020,16,1,4,4
73851462,8/10/2021,8/14/2021,16,23,2,10
82709939,2/15/2020,2/19/2020,8,21,22,28
79747276,8/15/2020,8/17/2020,12,13,1,38
71912890,6/28/2021,6/29/2021,8,37,19,47
78342740,5/9/2020,5/14/2020,14,46,2,23
74872555,7/10/2021,7/12/2021,9,16,0,13
89950526,11/30/2019,12/2/2019,13,21,5,15
72482297,5/7/2020,5/10/2020,10,57,20,24
69985194,2/28/2021,3/4/2021,12,24,23,25
81982540,11/14/2021,11/16/2021,10,28,19,56
85904875,6/29/2021,7/2/2021,9,58,21,15
73672362,7/15/2019,7/18/2019,12,12,20,19
90923785,5/14/2020,5/17/2020,15,39,2,51
78785282,10/21/2021,10/25/2021,8,1,21,0
84681913,3/20/2021,3/23/2021,11,44,21,41
84965878,4/30/2020,5/4/2020,16,0,2,12
82892658,11/26/2019,12/1/2019,13,21,4,4
87535797,1/27/2021,1/31/2021,11,32,3,20
93126618,5/24/2020,5/28/2020,15,22,7,42
72178906,5/2/2020,5/5/2020,12,4,1,9
82166120,5/14/2020,5/15/2020,10,22,20,9
92796382,2/9/2019,2/12/2019,9,55,0,37
89950768,5/15/2019,5/17/2019,11,1,0,52
70534303,6/9/2019,6/11/2019,14,34,0,56
90062978,6/17/2019,6/19/2019,15,2,2,0
71993288,2/8/2020,2/10/2020,9,33,1,39
88073085,2/17/2021,2/22/2021,10,54,2,36
84168466,2/21/2021,2/25/2021,13,30,1,7
88859582,1/3/2021,1/5/2021,9,50,0,25
85777384,7/29/2021,8/1/2021,16,26,7,11
89699129,7/20/2020,7/24/2020,16,53,3,40
85090277,8/28/2020,8/30/2020,11,27,20,4
86904272,11/15/2020,11/19/2020,15,55,6,59
83352104,7/6/2020,7/10/2020,10,6,2,16
88334848,9/13/2020,9/14/2020,8,54,17,1
90037052,3/24/2021,3/28/2021,13,50,22,16
82422960,5/24/2019,5/25/2019,8,46,22,15
89654973,7/22/2021,7/24/2021,9,45,19,37
87401045,5/16/2019,5/20/2019,8,3,17,1
84017952,10/9/2021,10/13/2021,15,34,4,18
81201351,8/12/2019,8/14/2019,16,14,5,34
88566155,1/18/2019,1/23/2019,15,10,1,25
84531549,8/23/2021,8/28/2021,12,18,3,24
88471811,11/7/2020,11/11/2020,15,14,1,57
91649423,7/15/2019,7/16/2019,8,20,19,21
90703148,10/29/2019,11/3/2019,16,10,3,31
73045064,7/22/2021,7/24/2021,16,0,8,11
88048220,1/17/2020,1/20/2020,14,51,4,20
79807722,5/29/2020,6/2/2020,14,29,5,51
71676342,11/1/2021,11/5/2021,14,17,2,27
81859672,10/8/2020,10/13/2020,11,18,2,37
89447412,3/14/2019,3/19/2019,16,34,6,0
84689815,12/5/2019,12/9/2019,14,35,2,58
79390063,5/27/2020,5/31/2020,9,30,18,44
78389292,9/14/2019,9/16/2019,14,32,4,26
87848382,1/8/2020,1/12/2020,13,30,22,8
88029434,11/22/2019,11/26/2019,13,33,4,20
81224212,1/3/2021,1/5/2021,12,18,20,59
85582834,1/11/2019,1/16/2019,11,30,1,50
79659030,10/19/2021,10/22/2021,12,27,2,53
76349941,1/17/2019,1/19/2019,14,54,5,48
90268583,9/12/2020,9/16/2020,15,28,0,26
88405927,4/6/2019,4/11/2019,11,30,2,52
78158055,8/12/2020,8/16/2020,10,35,0,45
69106215,1/15/2020,1/19/2020,11,44,23,33
75779276,6/6/2021,6/11/2021,8,55,0,19
77231413,1/6/2020,1/7/2020,8,16,22,28
87524808,8/21/2020,8/23/2020,12,38,4,39
80576078,11/24/2019,11/29/2019,16,32,2,21
90024000,7/29/2020,7/31/2020,12,59,1,59
86933287,12/14/2020,12/19/2020,14,9,5,47
80173063,8/22/2021,8/24/2021,11,44,3,38
92179413,10/28/2020,11/1/2020,9,34,19,14
88206768,12/29/2020,12/31/2020,15,57,1,34
82461249,10/18/2020,10/20/2020,13,16,23,55
73706245,11/4/2021,11/7/2021,9,44,19,27
71920277,4/11/2021,4/13/2021,8,18,19,23
93108217,8/19/2020,8/24/2020,12,57,4,23
74389433,8/1/2019,8/4/2019,9,58,18,49
69121075,1/14/2019,1/18/2019,14,14,6,39
74722291,8/15/2019,8/19/2019,11,49,21,50
86592029,7/27/2020,7/31/2020,9,22,20,4
76913567,3/4/2021,3/5/2021,10,33,23,53
87471430,7/8/2021,7/12/2021,8,31,0,42
76291092,11/7/2019,11/10/2019,16,1,1,22
71343879,3/15/2020,3/17/2020,16,20,2,56
88422706,4/19/2021,4/23/2021,12,13,2,22
77127044,1/14/2020,1/15/2020,13,7,23,37
77601367,8/11/2020,8/14/2020,9,1,23,50
68641616,2/6/2019,2/11/2019,15,22,5,19
74465043,5/17/2021,5/18/2021,8,23,19,35
82744425,4/15/2019,4/20/2019,12,11,4,33
90800378,11/2/2021,11/3/2021,8,42,23,36
75331743,9/13/2021,9/17/2021,13,53,23,56
70535389,6/6/2020,6/11/2020,16,7,0,31
69021593,8/30/2019,9/4/2019,16,41,8,50
91638388,5/6/2021,5/9/2021,15,36,7,44
93021914,7/12/2020,7/13/2020,10,9,21,23
80710722,11/17/2019,11/20/2019,9,29,20,21
80483152,4/14/2020,4/15/2020,8,37,21,21
80510543,4/28/2019,5/3/2019,11,45,1,20
84098316,1/20/2020,1/25/2020,9,33,0,41
88122545,12/16/2021,12/21/2021,16,14,7,13
70088029,11/2/2019,11/7/2019,13,41,2,3
90980400,7/7/2020,7/12/2020,15,50,5,36
76155937,3/12/2020,3/14/2020,8,54,0,48
79557099,3/29/2019,3/31/2019,16,14,1,5
88581654,6/30/2021,7/5/2021,10,56,0,44
74685423,10/16/2019,10/21/2019,15,37,6,21
86424215,11/27/2021,11/29/2021,16,5,0,35
89218343,8/18/2019,8/23/2019,16,14,3,55
72485196,3/15/2019,3/18/2019,16,0,8,40
68779146,5/25/2019,5/27/2019,11,40,1,6
83133951,8/23/2019,8/26/2019,10,28,0,20
78601334,6/10/2019,6/14/2019,12,7,2,43
70564908,2/16/2020,2/21/2020,15,52,6,11
90393015,6/13/2020,6/15/2020,13,26,1,8
88026515,10/21/2020,10/22/2020,10,37,21,2
90932168,6/23/2019,6/27/2019,16,8,6,10
77894467,11/3/2020,11/7/2020,13,53,2,11
79659208,3/23/2021,3/27/2021,16,11,7,23
73779469,2/12/2019,2/13/2019,8,34,23,52
73465977,5/18/2019,5/19/2019,12,59,21,44
69665482,2/27/2019,3/2/2019,16,58,8,30
85091967,1/12/2020,1/14/2020,14,56,7,12
84737581,7/18/2021,7/22/2021,14,14,23,49
73536587,6/23/2020,6/24/2020,14,5,22,13
71105786,4/7/2019,4/11/2019,11,20,22,40
87221942,3/1/2021,3/2/2021,9,12,22,3
74509250,6/16/2019,6/19/2019,10,7,22,9
80193039,2/27/2019,3/2/2019,15,18,6,52
72700187,6/15/2020,6/19/2020,10,46,3,28
78249253,4/21/2019,4/24/2019,16,32,7,39
80783122,9/8/2019,9/12/2019,9,29,18,47
83676782,11/26/2020,11/30/2020,10,58,20,35
92149162,4/13/2021,4/16/2021,8,28,20,15
91957766,2/27/2020,3/1/2020,11,3,3,42
93110068,5/13/2021,5/16/2021,16,38,9,22
89957142,2/20/2021,2/21/2021,14,47,23,16
76241707,6/18/2021,6/20/2021,15,58,5,0
85756877,8/20/2020,8/24/2020,14,16,1,17
92998950,11/19/2020,11/22/2020,9,23,23,52
84532150,7/10/2021,7/15/2021,10,8,0,44
85557850,9/19/2021,9/21/2021,13,18,3,34
72195875,10/4/2021,10/7/2021,10,24,1,42
87101750,12/27/2021,1/1/2022,9,43,1,52
79407984,1/2/2021,1/5/2021,16,57,7,17
79290700,6/4/2020,6/7/2020,9,4,0,10
86008642,10/13/2020,10/15/2020,15,0,2,33
69611339,8/6/2019,8/8/2019,11,5,20,21
85774716,4/28/2019,5/1/2019,10,26,0,27
92116304,9/2/2020,9/5/2020,8,48,19,42
79238648,1/31/2021,2/3/2021,12,17,21,32
71277571,6/7/2021,6/12/2021,9,55,1,18
91884727,5/29/2019,6/3/2019,15,23,3,33
74665881,9/14/2020,9/18/2020,12,54,3,51
78058823,2/17/2019,2/19/2019,14,36,5,29
68989609,7/28/2019,8/1/2019,10,34,20,5
85733843,1/1/2020,1/6/2020,14,34,5,41
89337828,8/7/2021,8/10/2021,12,54,20,56
69027957,10/30/2019,11/2/2019,12,7,4,28
80271300,8/8/2019,8/12/2019,9,49,20,1
87008013,5/15/2019,5/19/2019,8,19,22,30
80915175,12/10/2019,12/12/2019,13,49,4,15
69922952,11/30/2019,12/2/2019,11,42,19,44
70449994,3/29/2019,4/2/2019,15,11,4,49
69232078,11/4/2020,11/7/2020,12,58,21,9
86694012,7/22/2021,7/24/2021,16,44,5,12
85778523,11/4/2019,11/7/2019,15,0,2,41
90055185,1/11/2020,1/13/2020,9,7,21,19
87887257,10/12/2019,10/16/2019,13,52,4,14
93110533,1/31/2019,2/3/2019,8,18,18,58
76783146,8/14/2021,8/19/2021,16,15,8,7
86435427,7/26/2020,7/31/2020,10,1,1,51
70671674,10/14/2021,10/16/2021,9,47,2,6
88906070,1/11/2020,1/16/2020,14,34,5,34
87764578,4/27/2021,4/29/2021,14,48,4,2
80158810,3/12/2021,3/15/2021,12,20,4,39
78770316,5/11/2019,5/12/2019,9,19,21,34
93128486,12/15/2019,12/18/2019,12,1,2,25
88246602,12/25/2019,12/30/2019,13,15,2,41
91389419,6/12/2021,6/14/2021,9,59,1,53
90922047,6/4/2021,6/9/2021,11,33,4,20
75303232,2/17/2019,2/19/2019,9,56,0,20
88442925,9/17/2020,9/21/2020,16,6,5,38
85637197,4/10/2019,4/12/2019,13,48,21,50
88081416,11/23/2021,11/25/2021,15,14,3,25
86113333,11/12/2020,11/17/2020,9,36,1,38
81746881,5/15/2020,5/17/2020,9,56,20,20
91561035,1/22/2020,1/25/2020,12,58,4,17
70509800,9/4/2020,9/6/2020,9,12,17,25
85341856,1/11/2021,1/12/2021,10,12,19,32
81531237,8/28/2021,9/2/2021,14,18,6,31
74495559,5/23/2021,5/25/2021,8,1,23,11
75429432,6/1/2021,6/3/2021,12,32,4,39
89023077,12/21/2020,12/23/2020,15,3,6,40
90204516,10/29/2020,10/30/2020,10,35,18,54
89354686,4/22/2019,4/24/2019,11,58,1,1
83857330,4/18/2021,4/21/2021,15,3,7,5
88248613,7/1/2020,7/5/2020,8,26,19,8
89457331,3/25/2019,3/29/2019,8,35,17,17
86740825,1/7/2019,1/9/2019,9,36,17,49
82961509,9/2/2019,9/7/2019,12,10,1,19
79556420,6/6/2021,6/11/2021,16,56,2,23
88872177,5/4/2019,5/6/2019,8,19,18,2
91643579,2/4/2021,2/5/2021,10,21,20,34
92145314,12/23/2020,12/26/2020,10,2,19,48
75479552,6/8/2021,6/10/2021,11,32,20,7
90414688,3/18/2019,3/19/2019,9,8,22,25
78704828,6/10/2020,6/13/2020,15,40,8,16
84784505,6/11/2021,6/12/2021,14,49,23,22
88957503,3/27/2021,3/30/2021,13,19,5,3
86430693,1/7/2019,1/10/2019,8,12,20,19
77559633,2/16/2019,2/18/2019,9,10,22,36
83941840,10/19/2019,10/22/2019,16,27,6,37
80425073,11/1/2021,11/6/2021,16,33,0,53
71224293,5/8/2019,5/12/2019,14,25,3,45
79397047,2/2/2021,2/6/2021,14,43,2,0
71283952,2/18/2021,2/23/2021,11,12,2,58
78346854,11/19/2021,11/21/2021,13,42,1,53
87421110,11/27/2019,11/30/2019,10,49,2,3
83201290,7/19/2020,7/22/2020,10,19,1,38
79474423,12/1/2019,12/5/2019,9,27,23,43
72375867,2/14/2019,2/17/2019,14,31,3,15
82218910,8/19/2020,8/22/2020,16,51,4,39
75893876,5/29/2020,5/30/2020,12,52,23,43
75597031,9/6/2019,9/10/2019,10,54,0,3
91496129,11/8/2021,11/10/2021,9,44,1,14
83457270,2/6/2019,2/8/2019,12,16,22,44
92135572,10/31/2019,11/3/2019,13,23,21,58
78002416,6/3/2020,6/5/2020,9,58,2,5
69458833,11/17/2019,11/20/2019,12,2,0,12
73640032,6/11/2021,6/13/2021,9,28,22,29
73841414,3/12/2021,3/13/2021,8,21,19,30
90681448,3/4/2021,3/6/2021,16,47,4,13
72383986,10/29/2020,11/2/2020,13,16,3,46
87508977,4/4/2020,4/6/2020,10,10,20,56
86106594,12/12/2021,12/14/2021,12,17,22,15
92295721,11/20/2021,11/25/2021,8,5,0,28
73442861,5/7/2019,5/12/2019,16,53,9,7
83677947,6/4/2019,6/9/2019,10,45,0,3
87055682,10/30/2020,11/4/2020,12,14,3,54
83925519,8/3/2019,8/6/2019,13,20,21,28
73966996,1/10/2020,1/12/2020,11,28,23,2
90088964,4/16/2020,4/18/2020,8,18,19,29
76777685,12/31/2021,1/1/2022,12,2,23,19
82709133,10/9/2019,10/13/2019,16,2,3,10
86229480,9/3/2020,9/6/2020,16,47,9,43
92808473,7/31/2019,8/2/2019,11,16,3,45
83184741,8/23/2020,8/25/2020,14,16,7,1
87829717,3/12/2020,3/13/2020,8,37,21,20
87575875,11/23/2021,11/27/2021,13,15,2,59
78388544,8/19/2019,8/22/2019,10,20,0,56
72484450,5/10/2020,5/15/2020,16,6,3,2
87101524,10/1/2021,10/5/2021,14,10,4,51
86729078,10/23/2020,10/25/2020,15,24,0,28
77789512,2/17/2019,2/20/2019,14,57,4,21
87661228,5/12/2020,5/14/2020,12,43,1,2
85038555,6/17/2021,6/18/2021,8,4,21,6
86671026,4/25/2021,4/28/2021,9,59,0,46
